Identifier,Gender,1a_grit_localtravel,1b_grit_localtravel,2a_grit_errands,2b_grit_errands,3a_grit_publicspeaking,3b_grit_publicspeaking,4a_grit_discussion,4b_grit_discussion,5a_grit_persevered,5b_grit_persevered,6a_tnt_extraleadership,6b_tnt_extraleadership,7a_tnt_newskill,7b_tnt_newskill,8a_tnt_helpingothers,8b_tnt_helpingothers,9a_tnt_risktaking,9b_tnt_risktaking,10a_tnt_project,10a_tnt_project_example,10b_tnt_project,11a_sa_feedback,11b_sa_feedback,12a_sa_helpseeking,12b_sa_helpseeking,13a_sa_values,13b_sa_values,14a_sa_emotions,14b_sa_emotions,15a_sa_influence,15b_sa_influence,16a_ind_doingthingsalone,16b_sa_doingthingsalone,17a_ind_againstnorm,17b_ind_againstnorm,18a_ind_reflection,18b_ind_reflection,19a_ind_questioning,19b_ind_questioning,20a_ind_informeddecision,20b_ind_informeddecision
2492,Male,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,(b)no,,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,(d) no,(b)Did not want to,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",
2493,Male,(d)no,(b)Did not want to,"(a)yes, many times",,(d) no,(a)Did not need to,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,(a) yes,Manufacturing,,(d) no,(a)Did not need to,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,(d) no,(a)Did not need to,"(a)yes, many times",
2494,Male,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(d) no,(d)Was not allowed (by family / caregiver / teacher),"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(a) yes,Arunjit singh,,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(d) no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(a)yes, many times",
2495,Male,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,(a) yes,Cloth merchant,,"(a)yes, many times",,(d) no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(c)yes, once or twice",
2496,Female,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,(d) no,"(c)Wanted to, but did not have the opportunity",(d) no,(a)Did not need to,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,(d) no,(b)Did not want to,(b)no,,"(c)Wanted to, but did not have the opportunity","(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(c)yes, once or twice",,(d) no,(b)Did not want to,(d) no,(a)Did not need to,(d) no,(b)Did not want to,"(a)yes, many times",
2497,Female,"(a)yes, many times",,"(a)yes, many times",,(d) no,(a)Did not need to,"(b)yes, sometimes",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,(b)no,,(b)Did not want to,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,(d) no,(b)Did not want to,(d) no,(d)Was not allowed (by family / caregiver / teacher),"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",
2498,Male,"(c)yes, once or twice",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",,(d) no,(a)Did not need to,"(c)yes, once or twice",,(d) no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(c)yes, once or twice",,(a) yes,Food,,"(c)yes, once or twice",,"(c)yes, once or twice",,(d) no,(b)Did not want to,"(b)yes, sometimes",,(d) no,(b)Did not want to,"(c)yes, once or twice",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",
2499,Male,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,(d) no,(a)Did not need to,"(a)yes, many times",,"(b)yes, sometimes",,(a) yes,Love,,"(a)yes, many times",,"(b)yes, sometimes",,"(c)yes, once or twice",,(d) no,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",
2500,Female,"(b)yes, sometimes",,"(a)yes, many times",,(d) no,(b)Did not want to,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,(b)no,,(d)Was not allowed (by family / caregiver / teacher),"(c)yes, once or twice",,"(a)yes, many times",,"(c)yes, once or twice",,(d) no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",
2501,Male,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(a)yes, many times",,"(b)yes, sometimes",,(b)no,,(d)Was not allowed (by family / caregiver / teacher),(d) no,(a)Did not need to,"(a)yes, many times",,(d) no,(b)Did not want to,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",
2502,Male,"(a)yes, many times",,"(a)yes, many times",,(d) no,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(b)no,,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(a)yes, many times",
2503,Female,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(a) yes,Nail art; Hair style ; arts,,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",
2504,Female,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,(a) yes,Mandala art,,"(c)yes, once or twice",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,(d) no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(b)yes, sometimes",
2505,Male,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(a) yes,Food,,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,(d) no,(a)Did not need to,"(a)yes, many times",
2506,Male,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(a) yes,Salon,,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",
2507,Male,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,(a) yes,Polythene bags,,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",
2508,Male,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,(a) yes,Harman singh,,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",
2509,Male,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,(b)no,,(b)Did not want to,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",
2510,Male,"(a)yes, many times",,"(a)yes, many times",,(d) no,(d)Was not allowed (by family / caregiver / teacher),"(a)yes, many times",,"(a)yes, many times",,(d) no,(d)Was not allowed (by family / caregiver / teacher),(d) no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(a)yes, many times",,(b)no,,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",
2511,Female,"(c)yes, once or twice",,"(b)yes, sometimes",,(d) no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,(b)no,,(b)Did not want to,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,(d) no,"(c)Wanted to, but did not have the opportunity"
2512,Female,(d)no,(d)Was not allowed (by family / caregiver / teacher),"(a)yes, many times",,(d) no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(b)yes, sometimes",,(d) no,(d)Was not allowed (by family / caregiver / teacher),"(b)yes, sometimes",,"(a)yes, many times",,(d) no,(b)Did not want to,(b)no,,"(c)Wanted to, but did not have the opportunity",(d) no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(a)yes, many times",
2513,Male,"(a)yes, many times",,"(a)yes, many times",,(d) no,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(d) no,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,(b)no,,(a)Did not need to,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,(d) no,(a)Did not need to,"(b)yes, sometimes",,"(b)yes, sometimes",,(d) no,(a)Did not need to,"(a)yes, many times",,"(b)yes, sometimes",
2514,Female,(d)no,(a)Did not need to,"(b)yes, sometimes",,"(b)yes, sometimes",,(d) no,(b)Did not want to,"(b)yes, sometimes",,"(b)yes, sometimes",,(d) no,(b)Did not want to,"(b)yes, sometimes",,(d) no,(a)Did not need to,(b)no,,(a)Did not need to,"(b)yes, sometimes",,(d) no,(b)Did not want to,"(b)yes, sometimes",,(d) no,(b)Did not want to,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,(d) no,(b)Did not want to,"(c)yes, once or twice",,"(a)yes, many times",
2515,Male,"(a)yes, many times",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(a)yes, many times",,(d) no,(b)Did not want to,"(b)yes, sometimes",,"(c)yes, once or twice",,(b)no,,(b)Did not want to,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",,(d) no,(b)Did not want to,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,(d) no,(a)Did not need to,"(c)yes, once or twice",,"(a)yes, many times",
2516,Female,(d)no,(b)Did not want to,(d) no,(b)Did not want to,(d) no,(b)Did not want to,(d) no,(b)Did not want to,(d) no,(b)Did not want to,(d) no,(b)Did not want to,(d) no,(b)Did not want to,(d) no,(b)Did not want to,(d) no,(b)Did not want to,(b)no,,(b)Did not want to,(d) no,(b)Did not want to,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,(d) no,(b)Did not want to,(d) no,(b)Did not want to,(d) no,(b)Did not want to,(d) no,(b)Did not want to,(d) no,(b)Did not want to,"(a)yes, many times",
2517,Female,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,(a) yes,Parlour,,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(c)yes, once or twice",
2518,Male,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(a) yes,Saloon,,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",
2519,Male,(d)no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,(d) no,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,(d) no,"(c)Wanted to, but did not have the opportunity","(c)yes, once or twice",,(d) no,(a)Did not need to,(b)no,,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,(d) no,"(c)Wanted to, but did not have the opportunity",(d) no,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",
2520,Male,"(b)yes, sometimes",,"(b)yes, sometimes",,(d) no,(b)Did not want to,(d) no,(a)Did not need to,"(c)yes, once or twice",,(d) no,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,(b)no,,"(c)Wanted to, but did not have the opportunity",(d) no,(a)Did not need to,"(b)yes, sometimes",,"(c)yes, once or twice",,(d) no,(a)Did not need to,(d) no,(a)Did not need to,"(b)yes, sometimes",,(d) no,(a)Did not need to,"(b)yes, sometimes",,(d) no,(a)Did not need to,"(b)yes, sometimes",
2521,Male,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(d) no,(d)Was not allowed (by family / caregiver / teacher),"(b)yes, sometimes",,(d) no,(b)Did not want to,(d) no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(a)yes, many times",,(b)no,,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(c)yes, once or twice",,(d) no,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",
2522,Male,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,(d) no,(a)Did not need to,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,(d) no,(a)Did not need to,(b)no,,(a)Did not need to,"(b)yes, sometimes",,(d) no,(a)Did not need to,"(a)yes, many times",,"(b)yes, sometimes",,(d) no,(a)Did not need to,"(b)yes, sometimes",,(d) no,(a)Did not need to,(d) no,(a)Did not need to,(d) no,(a)Did not need to,(d) no,(a)Did not need to
2523,Male,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,(d) no,(a)Did not need to,"(a)yes, many times",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(b)yes, sometimes",,(b)no,,(a)Did not need to,"(c)yes, once or twice",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,(d) no,(a)Did not need to,(d) no,(a)Did not need to,(d) no,(a)Did not need to,(d) no,(a)Did not need to
2524,Male,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(a)yes, many times",,(d) no,(b)Did not want to,"(b)yes, sometimes",,(d) no,(b)Did not want to,(a) yes,Frinds,,"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,(d) no,(b)Did not want to,"(b)yes, sometimes",,"(a)yes, many times",
2525,Male,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(a) yes,Model of human heart,,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",
2526,Female,"(a)yes, many times",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(a)yes, many times",,(d) no,(b)Did not want to,"(c)yes, once or twice",,"(c)yes, once or twice",,"(b)yes, sometimes",,(b)no,,(d)Was not allowed (by family / caregiver / teacher),"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(a)yes, many times",,(d) no,(b)Did not want to,"(c)yes, once or twice",,"(c)yes, once or twice",,"(a)yes, many times",
2527,Male,"(a)yes, many times",,"(a)yes, many times",,(d) no,(d)Was not allowed (by family / caregiver / teacher),"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,(d) no,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,(b)no,,(a)Did not need to,"(a)yes, many times",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",
2528,Male,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,(d) no,(a)Did not need to,(b)no,,(d)Was not allowed (by family / caregiver / teacher),"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,(d) no,(a)Did not need to,(d) no,(b)Did not want to,(d) no,(a)Did not need to,"(b)yes, sometimes",
2529,Male,"(b)yes, sometimes",,"(b)yes, sometimes",,(d) no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,(b)no,,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,(d) no,(a)Did not need to,"(b)yes, sometimes",
2530,Male,"(a)yes, many times",,"(a)yes, many times",,(d) no,(b)Did not want to,(d) no,(a)Did not need to,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,(b)no,,(a)Did not need to,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(b)yes, sometimes",
2531,Female,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,(a) yes,Beutyparloue,,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(d) no,"(c)Wanted to, but did not have the opportunity",(d) no,(a)Did not need to,(d) no,(b)Did not want to
